,Unnamed: 0,RA,DEC,Redshift,TrueLabels,labels
993,993,312.02265,0.117757,0.0244973333333333,CGB4430,1869
299,299,312.045403,-19.856525,0.0291266666666666,HCG87,1870
300,300,312.049566,-19.832157,0.029874,HCG87,1870
301,301,312.053126,-19.846139,0.034,HCG87,1870
302,302,312.061883,-19.849336,0.02812,HCG87,1870
2326,2326,312.135725,1.14504,3e-05,CGB18488,1871
6079,6079,312.987055,-52.629689,0.0471433333333333,ABELL 3716,1872
6080,6080,313.039965,-52.795956,0.0463136666666666,ABELL 3716,1872
303,303,313.053156,-5.798305,0.0202006666666666,HCG88,1873
304,304,313.108444,-5.772279,0.0199936666666666,HCG88,1873
305,305,313.123882,-5.746162,0.020376,HCG88,1873
306,306,313.147847,-5.711203,0.0198993333333333,HCG88,1873
8378,8378,315.221426,-28.15506,0.042053,ABELL 3733,1874
8379,8379,315.23925,-28.164278,0.0401546666666666,ABELL 3733,1874
8380,8380,315.246471,-28.171376,0.0424733333333333,ABELL 3733,1874
8381,8381,315.270135,-28.1453,0.03894,ABELL 3733,1874
8382,8382,315.283624,-28.164722,0.03861,ABELL 3733,1874
8383,8383,315.292451,-28.224522,0.0395656666666666,ABELL 3733,1874
8384,8384,315.324208,-28.086361,0.0400833333333333,ABELL 3733,1874
8635,8635,315.32775,-28.316361,0.0397466666666666,ABELL 3733,1874
8385,8385,315.359457,-28.022196,0.0418913333333333,ABELL 3733,1874
8386,8386,315.369585,-28.048767,0.03819,ABELL 3733,1874
8388,8388,315.377625,-27.916639,0.0392206666666666,ABELL 3733,1874
8387,8387,315.378167,-28.221917,0.0364033333333333,ABELL 3733,1874
8389,8389,315.3872,-28.106995,0.0396533333333333,ABELL 3733,1874
8390,8390,315.390114,-28.022812,0.0412666666666666,ABELL 3733,1874
8391,8391,315.39049,-28.038353,0.036031,ABELL 3733,1874
8392,8392,315.399834,-28.048139,0.0387733333333333,ABELL 3733,1874
8393,8393,315.402954,-28.057028,0.0407123333333333,ABELL 3733,1874
6081,6081,315.407137,-28.031714,0.039556,ABELL 3733,1874
8395,8395,315.410292,-27.899528,0.038817,ABELL 3733,1874
8394,8394,315.411689,-28.302663,0.0395806666666666,ABELL 3733,1874
8396,8396,315.421953,-28.176521,0.039552,ABELL 3733,1874
8397,8397,315.423146,-28.105377,0.0369836666666666,ABELL 3733,1874
8657,8657,315.430295,-28.037085,0.0423066666666666,ABELL 3733,1874
8669,8669,315.464275,-27.895896,0.0429766666666666,ABELL 3733,1874
8398,8398,315.464607,-28.208612,0.0380966666666666,ABELL 3733,1874
8632,8632,315.465424,-28.344022,0.0402266666666666,ABELL 3733,1874
8670,8670,315.475524,-27.873287,0.03935,ABELL 3733,1874
8399,8399,315.478959,-28.33175,0.038311,ABELL 3733,1874
8229,8229,315.481584,-27.765639,0.0400036666666666,ABELL 3733,1874
8640,8640,315.484623,-28.227745,0.0415966666666666,ABELL 3733,1874
8662,8662,315.490167,-27.972028,0.0331716666666666,ABELL 3733,1874
8228,8228,315.497571,-28.260018,0.0331203333333333,ABELL 3733,1874
6082,6082,315.498038,-28.058832,0.0365983333333333,ABELL 3733,1874
8400,8400,315.504346,-27.98414,0.0387606666666666,ABELL 3733,1874
8226,8226,315.512463,-28.398253,0.0334523333333333,ABELL 3733,1874
8227,8227,315.516238,-27.871228,0.0421286666666666,ABELL 3733,1874
8663,8663,315.552792,-27.963083,0.03747,ABELL 3733,1874
8401,8401,315.566131,-28.044757,0.0376233333333333,ABELL 3733,1874
8634,8634,315.572291,-28.318767,0.0339433333333333,ABELL 3733,1874
10132,10132,315.585315,-28.1539,0.0387353333333333,ABELL 3733,1874
10247,10247,315.59658,-28.251484,0.0382,ABELL 3733,1874
6083,6083,315.599119,-28.17468,0.0363086666666666,ABELL 3733,1874
8402,8402,315.637584,-28.253917,0.036815,ABELL 3733,1874
8403,8403,315.649959,-27.947778,0.038957,ABELL 3733,1874
8668,8668,315.698409,-27.921011,0.0422666666666666,ABELL 3733,1874
8404,8404,315.710253,-27.999257,0.0353803333333333,ABELL 3733,1874
8405,8405,315.712746,-28.081448,0.035406,ABELL 3733,1874
6084,6084,315.757062,-28.339278,0.0396126666666666,ABELL 3733,1874
8406,8406,315.763209,-28.120278,0.0369673333333333,ABELL 3733,1874
7073,7073,315.825333,-25.691569,0.0378333333333333,ABELL 3744,1875
8225,8225,315.940705,-28.035559,0.033075,ABELL 3733,1874
6085,6085,316.123733,-47.828809,0.0167383333333333,ABELL 3742,1876
8842,8842,316.216602,-25.515432,0.0405766666666666,ABELL 3744,1875
8836,8836,316.307609,-25.551084,0.037474,ABELL 3744,1875
8824,8824,316.333125,-25.58225,0.03716,ABELL 3744,1875
8801,8801,316.421538,-25.729191,0.03844,ABELL 3744,1875
6086,6086,316.452967,-25.357003,0.040057,ABELL 3744,1875
8756,8756,316.470882,-26.121851,0.040448,ABELL 3744,1875
7074,7074,316.501838,-26.104292,0.0398343333333333,ABELL 3744,1875
8864,8864,316.505082,-25.326587,0.03923,ABELL 3744,1875
7075,7075,316.514733,-26.174555,0.0399309999999999,ABELL 3744,1875
10249,10249,316.530687,-25.348951,0.0368903333333333,ABELL 3744,1875
10248,10248,316.531067,-25.520341,0.037262,ABELL 3744,1875
8224,8224,316.537536,-47.150967,0.0177976666666666,ABELL 3742,1876
8871,8871,316.550961,-25.178566,0.0392,ABELL 3744,1875
8874,8874,316.565749,-25.031571,0.03858,ABELL 3744,1875
10250,10250,316.56581,-24.932671,0.0466933333333333,ABELL 3744,1875
8829,8829,316.570104,-25.570361,0.03606,ABELL 3744,1875
8839,8839,316.607043,-25.541384,0.0365,ABELL 3744,1875
10251,10251,316.607906,-25.053117,0.038454,ABELL 3744,1875
10252,10252,316.610235,-24.9622,0.03629,ABELL 3744,1875
8872,8872,316.61027,-25.153822,0.03826,ABELL 3744,1875
8875,8875,316.61694,-24.952296,0.036212,ABELL 3744,1875
8808,8808,316.625084,-25.675458,0.036989,ABELL 3744,1875
8833,8833,316.633655,-25.555217,0.036223,ABELL 3744,1875
8843,8843,316.639165,-25.515226,0.03854,ABELL 3744,1875
10253,10253,316.663515,-25.2931,0.03786,ABELL 3744,1875
10254,10254,316.668354,-24.916,0.039,ABELL 3744,1875
10256,10256,316.675501,-24.8995,0.0386533333333333,ABELL 3744,1875
10255,10255,316.675959,-25.1255,0.0361,ABELL 3744,1875
8835,8835,316.695015,-25.551399,0.0423133333333333,ABELL 3744,1875
6087,6087,316.697925,-47.187779,0.017643,ABELL 3742,1876
8863,8863,316.726209,-25.353333,0.0407666666666666,ABELL 3744,1875
7076,7076,316.73325,-25.412833,0.0376956666666666,ABELL 3744,1875
8841,8841,316.736958,-25.534167,0.0342533333333333,ABELL 3744,1875
8820,8820,316.740706,-25.602103,0.03874,ABELL 3744,1875
7077,7077,316.753944,-25.613082,0.037255,ABELL 3744,1875
7078,7078,316.776019,-25.586104,0.036253,ABELL 3744,1875
10257,10257,316.777584,-25.551389,0.03686,ABELL 3744,1875
8840,8840,316.781937,-25.539199,0.0372286666666666,ABELL 3744,1875
8830,8830,316.787695,-25.567758,0.0370516666666666,ABELL 3744,1875
10258,10258,316.79055,-25.732,0.0402566666666666,ABELL 3744,1875
7079,7079,316.796562,-25.253014,0.0386733333333333,ABELL 3744,1875
6088,6088,316.817834,-25.468889,0.0368103333333333,ABELL 3744,1875
8862,8862,316.821209,-25.376111,0.04005,ABELL 3744,1875
8869,8869,316.82235,-25.276501,0.0380133333333333,ABELL 3744,1875
8855,8855,316.832625,-25.421667,0.03683,ABELL 3744,1875
10131,10131,316.834234,-25.487614,0.0346156666666666,ABELL 3744,1875
8443,8443,316.836985,-25.63061,0.04068,ABELL 3744,1875
7568,7568,316.841876,-25.455833,0.038098,ABELL 3744,1875
8860,8860,316.846896,-25.383025,0.0436066666666666,ABELL 3744,1875
8444,8444,316.847792,-25.571361,0.0424666666666666,ABELL 3744,1875
10259,10259,316.851838,-25.412279,0.0403766666666666,ABELL 3744,1875
11049,11049,316.853781,-25.429356,0.038958,ABELL 3744,1875
8826,8826,316.856833,-25.578889,0.03825,ABELL 3744,1875
10478,10478,316.856886,-25.428631,0.03839,ABELL 3744,1875
8847,8847,316.865995,-25.494533,0.0436766666666666,ABELL 3744,1875
7080,7080,316.867956,-25.374696,0.038318,ABELL 3744,1875
10260,10260,316.870988,-25.212492,0.03539,ABELL 3744,1875
10261,10261,316.87305,-24.974501,0.03611,ABELL 3744,1875
7569,7569,316.881106,-25.531366,0.03784,ABELL 3744,1875
8850,8850,316.889792,-25.462786,0.03929,ABELL 3744,1875
6089,6089,316.903009,-25.418018,0.0379566666666666,ABELL 3744,1875
8868,8868,316.947874,-25.296111,0.03649,ABELL 3744,1875
8816,8816,316.948613,-25.630768,0.0398466666666666,ABELL 3744,1875
8858,8858,316.953352,-25.404419,0.0354633333333333,ABELL 3744,1875
8805,8805,316.961916,-25.703611,0.03857,ABELL 3744,1875
6090,6090,316.967343,-47.179008,0.0158793333333333,ABELL 3742,1876
8084,8084,316.977027,-43.26162,0.03057,ABELL 3747,1877
6091,6091,316.981741,-25.6527,0.0392666666666666,ABELL 3744,1875
7081,7081,316.984935,-25.610204,0.039307,ABELL 3744,1875
10262,10262,316.993663,-25.192846,0.0375123333333333,ABELL 3744,1875
7082,7082,317.041414,-26.403745,0.0347046666666666,ABELL 3744,1875
8853,8853,317.056667,-25.428583,0.0352466666666666,ABELL 3744,1875
10263,10263,317.083396,-25.63414,0.0393,ABELL 3744,1875
6092,6092,317.096315,-25.390009,0.0368746666666666,ABELL 3744,1875
8537,8537,317.097499,-42.686917,0.0306666666666666,ABELL 3747,1877
8854,8854,317.125903,-25.423493,0.03703,ABELL 3744,1875
11488,11488,317.136042,-25.435333,0.0383333333333333,ABELL 3744,1875
6093,6093,317.162916,-43.486083,0.0305993333333333,ABELL 3747,1877
6094,6094,317.237208,-43.686028,0.0304366666666666,ABELL 3747,1877
10264,10264,317.269167,-25.569278,0.0299733333333333,ABELL 3744,1875
6095,6095,317.279406,-25.556545,0.0293143333333333,ABELL 3744,1875
1893,1893,317.500522,9.886908,0.0401383333333333,CGA645,1878
8085,8085,317.811617,-48.504492,0.031619,ABELL 3742,1876
307,307,320.004279,-3.922156,0.0293716666666666,HCG89,1879
308,308,320.033512,-3.908181,0.0295233333333333,HCG89,1879
309,309,320.03497,-3.91764,0.0295733333333333,HCG89,1879
310,310,320.07987,-3.896086,0.0293666666666666,HCG89,1879
1933,1933,320.212378,0.235693,0.0312486666666666,CGB45373,1880
1894,1894,322.529484,0.402706,0.030589,CGB280,1881
1005,1005,323.970632,0.405295,0.0294509999999999,CGB27975,1882
979,979,326.076474,-6.785193,0.0410016666666666,CGA478,1883
8221,8221,327.568542,-55.275472,0.038951,ABELL 3816,1884
1020,1020,327.665354,0.793816,0.027217,CGB10517,1885
8220,8220,327.683625,-55.248583,0.040462,ABELL 3816,1884
6096,6096,327.874804,-55.336937,0.0387566666666666,ABELL 3816,1884
10204,10204,328.017512,-21.165174,0.0466533333333333,ABELL 2383,1886
8231,8231,329.925626,-17.800528,0.0363766666666666,ABELL 2405,1887
311,311,330.50745,-31.870171,0.0085406666666666,HCG90,1888
312,312,330.513915,-31.973746,0.008324,HCG90,1888
313,313,330.527894,-31.992241,0.0088633333333333,HCG90,1888
314,314,330.535191,-31.990236,0.0083826666666666,HCG90,1888
859,859,330.816702,0.571136,0.0300959999999999,CGB2451,1889
860,860,331.646231,0.056439,0.046103,CGB720,1890
315,315,332.282008,-27.809528,0.0237286666666666,HCG91,1891
316,316,332.285339,-27.800455,0.0239833333333333,HCG91,1891
317,317,332.308376,-27.782208,0.0239883333333333,HCG91,1891
318,318,332.317827,-27.730418,0.024051,HCG91,1891
861,861,334.988675,-7.666191,0.0377596666666666,CGB19580,1892
6097,6097,335.129208,-55.124847,0.0400166666666666,ABELL 3869,1893
7639,7639,335.178291,-55.10175,0.0397333333333333,ABELL 3869,1893
7640,7640,335.190459,-55.102583,0.0403583333333333,ABELL 3869,1893
1895,1895,337.3151,13.002575,0.0256829999999999,CGB61476,1894
2431,2431,337.776304,1.12883,0.0381783333333333,CGA912,1895
1028,1028,337.777993,1.093749,0.0374903333333333,CGA912,1895
1030,1030,337.780149,1.10438,0.037572,CGA912,1895
319,319,338.966217,33.944838,0.0219966666666666,HCG92,1896
320,320,338.987985,33.965604,0.0220223333333333,HCG92,1896
321,321,338.993334,33.966028,0.0192273333333333,HCG92,1896
323,323,339.014202,33.948158,0.002584,HCG92,1896
322,322,339.01503,33.975918,0.0221433333333333,HCG92,1896
1689,1689,340.120869,0.279843,-0.0003033333333333,CGA1665,1897
862,862,342.437097,15.089067,0.0113283333333333,CGB59999,1898
2363,2363,343.018748,15.205554,0.03731,CGB24112,1899
1181,1181,344.711581,13.880577,0.0328383333333333,CGB14253,1900
2048,2048,344.909264,13.347558,0.0331446666666666,CGA1813,1901
1786,1786,345.450519,0.568744,0.0417566666666666,CGB42287,1902
1802,1802,345.527821,14.219381,0.0244106666666666,CGB52626,1903
1184,1184,346.296526,14.062824,0.0052063333333333,CGB17536,1904
1170,1170,347.301649,13.193607,0.0355759999999999,CGB37207,1905
1803,1803,348.087591,14.615298,0.0161643333333333,CGB30040,1906
324,324,348.764458,18.973472,0.0161313333333333,HCG93,1907
325,325,348.817041,18.961361,0.0169256666666666,HCG93,1907
326,326,348.821952,19.041775,0.015657,HCG93,1907
327,327,348.887833,19.048028,0.0172433333333333,HCG93,1907
328,328,348.909166,18.91975,0.0295643333333333,HCG93,1907
329,329,349.299967,18.701256,0.0399473333333333,HCG94,1908
330,330,349.306638,18.708207,0.040185,HCG94,1908
